State,Year,Quarter,Transaction_Type,Transaction_Count,Transaction_Amount
Assam,2023,3,P2P,66738687,185012014050.43414
Assam,2023,3,Retail,80789947,48800811274.30323
Assam,2023,3,Utility,20749479,9655216302.232512
Assam,2023,4,P2P,79931097,217119731090.9958
Assam,2023,4,Retail,93896583,58068704894.25728
Assam,2023,4,Utility,20524429,10630010056.444412
Assam,2024,1,Retail,108690485,65698909312.36518
Assam,2024,1,P2P,91156112,244371165918.07275
Assam,2024,1,Utility,22782397,11136799999.924507
Assam,2024,2,Retail,143706811,74215013284.72882
Assam,2024,2,Utility,25314244,12452241395.65348
Assam,2024,2,P2P,105567953,258569727206.37753
Assam,2024,3,P2P,112086581,244189815253.5426
Assam,2024,3,Retail,159283968,74579926884.107
Assam,2024,3,Utility,26379142,14550390591.36288
Assam,2024,4,P2P,129253234,282407857879.87585
Assam,2024,4,Retail,178000773,84627619470.64844
Assam,2024,4,Utility,25832036,15246699935.912266
Assam,2025,1,P2P,148257710,336788696063.1076
Assam,2025,1,Utility,31062214,17080344941.693253
Assam,2025,1,Retail,202129241,95393470156.00003
Assam,2025,2,P2P,152460784,325697337347.401
Assam,2025,2,Retail,228314633,100513227584.14102
Assam,2025,2,Utility,31747436,17809295161.74906
Assam,2025,3,P2P,163168524,319860884865.33484
Assam,2025,3,Retail,257785154,104826606769.10977
Assam,2025,3,Utility,33608696,19790239992.761154
Assam,2025,4,P2P,173912850,335697694598.261
Assam,2025,4,Retail,262799498,111962613632.69647
Assam,2025,4,Utility,32082813,20583065177.83132
Assam,2026,1,P2P,187964652,375451797905.4099
Assam,2026,1,Utility,35281902,22357986842.442986
Assam,2026,1,Retail,280234793,125154947189.45413
Assam,2026,2,Retail,314710936,129968718141.15704
Assam,2026,2,Utility,37936564,23813472820.048767
Assam,2026,2,P2P,196477566,365913888391.6631
Bihar,2018,1,P2P,2402724,6370984464.352457
Bihar,2018,1,Retail,4816218,878752827.2044792
Bihar,2018,1,Utility,48864,69031817.00032617
Bihar,2018,2,P2P,3988478,14329235091.554424
Bihar,2018,2,Retail,6197442,1439734180.0352306
Bihar,2018,2,Utility,248659,219294866.52948177
Bihar,2018,3,P2P,9964049,21483849895.333675
Bihar,2018,3,Retail,6195903,1384699523.9629416
Bihar,2018,3,Utility,347261,307233790.0564733
Bihar,2018,4,P2P,9133500,30021762375.033607
Bihar,2018,4,Retail,8778363,2143327258.5340884
Bihar,2018,4,Utility,412736,398007100.2584014
Bihar,2019,1,P2P,17822554,41437276300.444954
Bihar,2019,1,Retail,10134940,2409638845.0327177
Bihar,2019,1,Utility,620729,536622839.36429393
Bihar,2019,2,P2P,15127981,56462296825.01355
Bihar,2019,2,Retail,13444865,3855638879.1115923
Bihar,2019,2,Utility,639972,752248711.4583571
Bihar,2019,3,P2P,14075183,58447436871.49278
Bihar,2019,3,Retail,14352593,4427535078.475287
Bihar,2019,3,Utility,1264920,1163842307.2254097
Bihar,2019,4,P2P,23834576,82407463586.30508
Bihar,2019,4,Retail,13833728,4988365052.794287
Bihar,2019,4,Utility,3299582,1712347482.1001818
Bihar,2020,1,Retail,16415988,6907458254.761826
Bihar,2020,1,Utility,5455724,2267465203.175734
Bihar,2020,1,P2P,22185121,97441114523.99834
Bihar,2020,2,P2P,26487666,117745201602.22449
Bihar,2020,2,Retail,18443012,9577383483.204472
Bihar,2020,2,Utility,9024105,3006920750.9022727
Bihar,2020,3,P2P,37372584,155556544704.2381
Bihar,2020,3,Retail,26489558,15672547616.252895
Bihar,2020,3,Utility,8917471,4198252862.2950134
Bihar,2020,4,P2P,49315343,209052295431.7222
Bihar,2020,4,Retail,37187582,24616828774.88288
Bihar,2020,4,Utility,11193683,5759957132.904346
Bihar,2021,1,P2P,57601479,239577613158.9112
Bihar,2021,1,Retail,33189718,29297805888.26821
Bihar,2021,1,Utility,20899510,8506895122.171409
Bihar,2021,2,P2P,78237915,321380940326.9004
Bihar,2021,2,Retail,42188486,40395565631.2697
Bihar,2021,2,Utility,32501986,12529720268.875004
Bihar,2021,3,P2P,92724849,334131286277.5516
Bihar,2021,3,Retail,60516429,50504254398.76271
Bihar,2021,3,Utility,31570844,13533659575.163368
Bihar,2021,4,P2P,102626865,373714846467.3999
Bihar,2021,4,Retail,80117478,66786278846.14114
Bihar,2021,4,Utility,28850796,15371985351.970598
Bihar,2022,1,Retail,110204201,87869366377.00702
